00000000 0
020204B4 rboxes
0202063C objects
02021CD0 fcode_buffer2
02021CF0 fcode_buffer3
02021D04 fcode_buffer4
02021D18 string_buffer
02022B4C battle_type_flags
02022BC4 b_buffer_a
020233C4 b_buffer_b
020233C4 dp01_scratchpad
02023BC4 b_active_side
02023BC8 b_buffers_awaiting_execution_bitfield
02023BCC b_num_active_sides
02023BCE b_pokemon_team_id_by_side
02023BDE b_attackers_in_order
02023BE2 bs_mode_pbs_index
02023BE4 battle_data
02023D68 b_message_held_item
02023D6B b_attacker
02023D6C b_defender
02023D6D b_attacker_partner
02023D6E b_defender_partner
02023D70 absent_flags_for_banks
02023FDB battle_script_active_side
02023FE8 battle_stuff
02023FFC move_index_chosen_per_side
0202402C party_opponent
02024284 party_player
02031DFC virtual_map_data
02036DFC current_map_header
02036DFC currentmap_header
02036E38 npc_states
02037078 walkrun_state
0203709C box_status_and_type
020370B8 var_8000
020370BA var_8001
020370BC var_8002
020370BE var_8003
020370BE var_800c
020370BE var_800d
020370BE var_800e
020370C0 var_8004
020370C2 var_8005
020370C4 var_8006
020370C6 var_8007
020370C8 var_8008
020370CA var_8009
020370CC var_800a
020370CE var_800b
020370D2 var_800f
020370D6 var_8010
020370D8 var_8011
02037AB8 .byt:000C
02037AB8 pal_fade_control
020386AE trainerbattle_flag_id
020386E0 oe_state
030008E8 bg_config2
03000EB0 script_env_1
03000F28 script_env_2
030030F0 super
03003E58 .byt:0004
03003E58 gpu_pal_tag_search_lower_boundary
03004F84 b_c
03004FE0 b_x
03004FF4 selected_battle_side
03005008 saveblock1
0300500C saveblock2
03005010 saveblock3
03005020 map_post_load_hook
03005024 hm_phase_1
03005040 virtual_map_header
03005074 scripting_npc
03005090 tasks
03005390 save_count
03005394 flash_sector_buffer
030053A0 save_load_result
03006F00 pokemon_cry_songs
03006F70 pokemon_cry_music_players
03007180 pokemon_cry_tracks
030072C0 pokemon_cry_song
03007300 mplay_bgm
03007340 mplay_se1
03007380 mplay_se2
030073C0 mplaymemaccarea
030073D0 mplay_se3
04000000 reg_dispcnt
04000004 reg_dispstat
04000006 reg_vcount
04000008 bg_cnt
04000008 reg_bg0cnt
